D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
27631|2015|Toyota|Corolla|Sedan|Blue|75000|11995.00
56219|2019|Chevrolet|Malibu|Sedan|Silver|40000|16995.00
85734|2018|Hyundai|Elantra|Sedan|White|60000|12995.00
44328|2016|Nissan|Altima|Sedan|Black|55000|13995.00
92175|2017|Ford|Fusion|Sedan|Gray|48000|14995.00
32984|2015|Honda|Accord|Sedan|Red|65000|15995.00
75219|2019|Toyota|Camry|Sedan|White|35000|21995.00
68213|2014|Volkswagen|Jetta|Sedan|Blue|80000|10995.00
59902|2018|Subaru|Outback|SUV|Green|45000|24995.00
11547|2016|Jeep|Wrangler|SUV|Black|70000|28995.00
83546|2017|Chevrolet|Equinox|SUV|Silver|50000|19995.00
99233|2019|Ford|Escape|SUV|Gray|40000|22995.00
44871|2018|Toyota|Rav4|SUV|Red|42000|25995.00
67321|2016|Honda|CR-V|SUV|Blue|55000|20995.00
82564|2017|Nissan|Rogue|SUV|White|48000|21995.00
34344|2003||Honda|Accord|Blue|167444|4000.0
